"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","DM_gravity","height_1st_branch","yield_ha","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_weight_plot","vigor1_5","lodging1_3","root_number_commercial","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8"
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-109_386",1,386,9,18,"test"," (Operator: lizbethpino, Time: )","AM1472A-109","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,33.06781451,210,6.25,4,75,6.25,2.066738406875,2.6,3,1,6,4,3,210,30,2,3,1,3,2,2410,232,0,3,2,2,1,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-110_373",1,373,9,5,"test"," (Operator: lizbethpino, Time: )","AM1472A-110","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,25,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-111_647",1,647,15,3,"test","Flecos, Alta Pudricion (Operator: lizbethpino, Time: ),  (Operator: lizbethpino, Time: )","AM1472A-111","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,NA,160,0.480769231,4,50,0.480769230769231,NA,0.2,3,1,0,4,4,160,10,1,3,1,5,2,NA,NA,0,2,2,3,4,4
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-112_581",1,581,13,29,"test"," (Operator: lizbethpino, Time: )","AM1472A-112","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-113_235",1,235,6,42,"test"," (Operator: lizbethpino, Time: )","AM1472A-113","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",3,34.93595456,100,11.53846154,4,100,11.5384615384615,4.03107168,4.8,3,1,15,4,3,150,30,4,2,1,2,3,3790,401,5,4,1,3,3,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-11_442",1,442,10,19,"test"," (Operator: lizbethpino, Time: )","AM1472A-11","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",3,25.96998439,100,3.605769231,4,100,3.60576923076923,0.936417706370192,1.5,3,3,3,4,4,220,20,4,3,1,4,3,1360,79,0,4,1,3,2,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-114_563",1,563,13,11,"test"," (Operator: lizbethpino, Time: )","AM1472A-114","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,25,NA,NA,NA,3,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-115_354",1,354,8,15,"test"," (Operator: lizbethpino, Time: )","AM1472A-115","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-116_233",1,233,6,44,"test"," (Operator: lizbethpino, Time: )","AM1472A-116","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",0,31.59245677,190,5.528846154,4,100,5.52884615384615,1.74669833103365,2.3,3,1,2,4,4,190,30,4,3,2,4,3,1840,163,0,4,1,2,1,3
2022,"202267IDEPR_repe","202267IDEPR_repe",1.3,3.2,"2022-July-25","2023-April-17","Repelon. Atlantico, Colombia",NA,"202267IDEPR_repe_rep1_AM1472A-117_592",1,592,13,40,"test"," (Operator: lizbethpino, Time: )","AM1472A-117","test",10.55,-75.11666667,143,"Atlantico","Colombia","Subhumid lowland tropics","repe",3,NA,80,NA,4,25,NA,NA,NA,2,3,NA,4,5,150,30,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA
